Hora,TempExterna
08:00,30.2
08:05,30.1
08:10,30.1
08:15,30.1
08:20,30.2
08:25,30.2
08:30,30.3
08:35,30.3
08:40,30.3
08:45,30.3
08:50,30.3
08:55,30.4
09:00,30.4
09:05,30.4
09:10,30.4
09:15,30.4
09:20,30.5
09:25,30.5
09:30,30.4
09:35,30.5
09:40,30.5
09:45,30.5
09:50,30.6
09:55,30.7
10:00,30.7
10:05,30.7
10:10,30.8
10:15,30.8
10:20,30.9
10:25,30.9
10:30,31.1
10:35,31.2
10:40,31.3
10:45,31.5
10:50,31.5
10:55,31.5
11:00,31.5
11:05,31.6
11:10,31.6
11:15,31.7
11:20,31.8
11:25,31.9
11:30,31.9
11:35,31.9
11:40,32
11:45,32.1
11:50,32.2
11:55,32.3
12:00,32.5
12:05,32.6
12:10,32.5
12:15,32.6
12:20,32.6
12:25,32.7
12:30,32.8
12:35,32.9
12:40,32.9
12:45,32.9
12:50,33
12:55,33.2
13:00,33.2
13:05,33.2
13:10,33.2
13:15,33.5
13:20,33.5
13:25,33.5
13:30,33.4
13:35,33.4
13:40,33.5
13:45,33.5
13:50,33.6
13:55,33.6
14:00,33.7
14:05,33.8
14:10,34
14:15,34.1
14:20,34.1
14:25,34.2
14:30,34.2
14:35,34.2
14:40,34.2
14:45,34.2
14:50,34.2
14:55,34.5
15:00,34.5
15:05,34.5
15:10,34.6
15:15,34.6
15:20,34.6
15:25,34.6
15:30,34.7
15:35,34.7
15:40,34.7
15:45,34.7
15:50,34.7
15:55,34.7
16:00,34.8
16:05,34.7
16:10,34.8
16:15,34.8
16:20,34.9
16:25,34.9
16:30,34.9
16:35,35.2
16:40,35.2
16:45,35.2
16:50,35.1
16:55,35.1
17:00,35.1
17:05,35.2
17:10,35.2
17:15,35.3
17:20,35.3
17:25,35.3
17:30,35.3
17:35,35.3
17:40,35.2
17:45,35.2
17:50,35.2
17:55,35.1
18:00,35.1
18:05,35.1
18:10,35.1
18:15,35.1
18:20,35.1
18:25,34.9
18:30,34.9
18:35,34.9
18:40,34.8
18:45,34.8
18:50,34.8
18:55,34.8
19:00,34.7
19:05,34.7
19:10,34.6
19:15,34.6
19:20,34.6
19:25,34.4
19:30,34.3
19:35,34.3
19:40,34.3
19:45,34.3
19:50,34.1
19:55,34.1
20:00,33.8
20:05,33.8
20:10,33.7
20:15,33.7
20:20,33.7
20:25,33.5
20:30,33.4
20:35,33.3
20:40,33.3
20:45,33.2
20:50,33.2
20:55,33.2
21:00,33
21:05,33
21:10,32.6
21:15,32.5
21:20,32.4
21:25,32.1
21:30,32
21:35,31.8
21:40,31.7
21:45,31.7
21:50,31.6
21:55,31.5
22:00,31.6
22:05,31.6
22:10,31.5
22:15,31.5
22:20,31.4
22:25,31.2
22:30,31.2
22:35,31.1
22:40,31.1
22:45,30.9
22:50,30.8
22:55,30.8
23:00,30.8
23:05,30.8
23:10,30.6
23:15,30.6
23:20,30.6
23:25,30.6
23:30,30.5
23:35,30.5
23:40,30.4
23:45,30.4
23:50,30.3
23:55,30.3
00:00,30.3
00:05,30.3
00:10,30.3
00:15,30.2
00:20,30.2
00:25,30.2
00:30,30.1
00:35,30.1
00:40,30.1
00:45,30.2
00:50,30.1
00:55,30.1
01:00,30.1
01:05,30.1
01:10,30.1
01:15,30
01:20,30
01:25,29.8
01:30,29.9
01:35,29.9
01:40,29.8
01:45,29.9
01:50,29.9
01:55,29.9
02:00,29.8
02:05,29.8
02:10,29.8
02:15,29.8
02:20,29.8
02:25,29.8
02:30,29.7
02:35,29.7
02:40,29.7
02:45,29.7
02:50,29.7
02:55,29.5
03:00,29.5
03:05,29.5
03:10,29.5
03:15,29.5
03:20,29.5
03:25,29.6
03:30,29.6
03:35,29.6
03:40,29.6
03:45,29.5
03:50,29.5
03:55,29.5
04:00,29.5
04:05,29.4
04:10,29.5
04:15,29.4
04:20,29.5
04:25,29.5
04:30,29.5
04:35,29.4
04:40,29.4
04:45,29.4
04:50,29.3
04:55,29.3
05:00,29.3
05:05,29.3
05:10,29.2
05:15,29.2
05:20,29.2
05:25,29.2
05:30,29.2
05:35,29.2
05:40,29.2
05:45,29.1
05:50,29.2
05:55,29.2
06:00,29.3
06:05,29.3
06:10,29.4
06:15,29.4
06:20,29.4
06:25,29.5
06:30,29.5
06:35,29.5
06:40,29.5
06:45,29.6
06:50,29.6
06:55,29.7
07:00,29.7
07:05,29.7
07:10,29.7
07:15,29.8
07:20,29.8
07:25,29.9
07:30,29.9
07:35,30
07:40,30.1
07:45,30.1
07:50,30.2
07:55,30.2
08:00,30.3
08:05,30.3
08:10,30.3
08:15,30.3
08:20,30.4
08:25,30.3
08:30,30.4
08:35,30.3
08:40,30.3
08:45,30.3
08:50,30.4
08:55,30.4
09:00,30.4
09:05,30.5
09:10,30.5
09:15,30.4
09:20,30.4
09:25,30.4
09:30,30.4
09:35,30.5
09:40,30.5
09:45,30.5
09:50,30.5
09:55,30.5
10:00,30.5
10:05,30.5
10:10,30.6
10:15,30.6
10:20,30.7
10:25,30.7
10:30,30.8
10:35,30.8
10:40,30.8
10:45,30.9
10:50,31.1
10:55,31.1
11:00,31.1
11:05,31.1
11:10,31.2
11:15,31.2
11:20,31.3
11:25,31.3
11:30,31.5
11:35,31.5
11:40,31.5
11:45,31.6
11:50,31.6
11:55,31.6
12:00,31.6
12:05,31.6
12:10,31.7
12:15,31.8
12:20,31.8
12:25,31.8
12:30,31.8
12:35,32
12:40,32
12:45,32.1
12:50,32.1
12:55,32.1
13:00,32.3
13:05,32.3
13:10,32.3
13:15,32.3
13:20,32.3
13:25,32.4
13:30,32.4
13:35,32.4
13:40,32.6
13:45,32.7
13:50,32.7
13:55,32.7
14:00,32.7
14:05,32.7
14:10,32.8
14:15,32.8
14:20,32.8
14:25,32.9
14:30,32.9
14:35,33
14:40,33.2
14:45,33.2
14:50,33.2
14:55,33.3
15:00,33.4
15:05,33.5
15:10,33.5
15:15,33.5
15:20,33.6
15:25,33.6
15:30,33.6
15:35,33.7
15:40,33.7
15:45,33.7
15:50,33.7
15:55,33.7
16:00,33.8
16:05,33.8
16:10,33.8
16:15,33.8
16:20,33.9
16:25,33.8
16:30,33.8
16:35,33.9
16:40,33.9
16:45,33.9
16:50,34
16:55,34.2
17:00,34.1
17:05,34.1
17:10,34.2
17:15,34.2
17:20,34.2
17:25,34.2
17:30,34.1
17:35,34.1
17:40,34.1
17:45,34
17:50,34
17:55,34
18:00,33.8
18:05,33.8
18:10,33.8
18:15,33.8
18:20,33.7
18:25,33.7
18:30,33.7
18:35,33.5
18:40,33.5
18:45,33.5
18:50,33.4
18:55,33.3
19:00,33.2
19:05,33.2
19:10,33.1
19:15,33.1
19:20,33.1
19:25,32.9
19:30,32.9
19:35,32.9
19:40,32.8
19:45,32.6
19:50,32.6
19:55,32.6
20:00,32.5
20:05,32.4
20:10,32.3
20:15,32.1
20:20,32.1
20:25,32
20:30,32
20:35,32
20:40,32
20:45,31.9
20:50,31.7
20:55,31.7
21:00,31.7
21:05,31.6
21:10,31.3
21:15,31.3
21:20,31.2
21:25,31.2
21:30,31.2
21:35,31
21:40,31
21:45,30.9
21:50,30.9
21:55,30.9
22:00,30.9
22:05,30.8
22:10,30.8
22:15,30.8
22:20,30.7
22:25,30.7
22:30,30.7
22:35,30.6
22:40,30.6
22:45,30.6
22:50,30.4
22:55,30.3
23:00,30.3
23:05,30.3
23:10,30.3
23:15,30.2
23:20,30.1
23:25,30.1
23:30,30
23:35,30
23:40,30
23:45,30
23:50,30
23:55,30
00:00,30
00:05,30
00:10,30
00:15,30
00:20,30
00:25,30
00:30,30
00:35,30
00:40,30
00:45,29.9
00:50,29.9
00:55,29.9
01:00,29.9
01:05,29.9
01:10,29.9
01:15,29.8
01:20,29.8
01:25,29.8
01:30,29.9
01:35,29.8
01:40,29.8
01:45,29.8
01:50,29.7
01:55,29.7
02:00,29.7
02:05,29.5
02:10,29.5
02:15,29.5
02:20,29.4
02:25,29.4
02:30,29.4
02:35,29.4
02:40,29.4
02:45,29.4
02:50,29.5
02:55,29.4
03:00,29.4
03:05,29.3
03:10,29.3
03:15,29.3
03:20,29.3
03:25,29.3
03:30,29.3
03:35,29.3
03:40,29.3
03:45,29.2
03:50,29.3
03:55,29.2
04:00,29.2
04:05,29.2
04:10,29.2
04:15,29.1
04:20,28.9
04:25,28.9
04:30,28.9
04:35,29
04:40,29
04:45,29
04:50,29
04:55,28.9
05:00,28.9
05:05,28.9
05:10,28.8
05:15,28.9
05:20,28.9
05:25,28.9
05:30,28.9
05:35,28.9
05:40,28.9
05:45,29
05:50,29
05:55,29
06:00,29
06:05,29
06:10,29
06:15,29
06:20,29.1
06:25,29.1
06:30,29.1
06:35,29.1
06:40,29.1
06:45,29.1
06:50,29.1
06:55,29.2
07:00,29.2
07:05,29.1
07:10,29.1
07:15,29.2
07:20,29.2
07:25,29.2
07:30,29.2
07:35,29.2
07:40,29.2
07:45,29
07:50,29.3
07:55,29.3
08:00,29.3
08:05,29.3
08:10,29.3
08:15,29.3
08:20,29.3
08:25,29.4
08:30,29.4
08:35,29.4
08:40,29.4
08:45,29.4
08:50,29.5
08:55,29.5
09:00,29.5
09:05,29.5
09:10,29.5
09:15,29.5
09:20,29.7
09:25,29.7
09:30,29.7
09:35,29.7
09:40,29.8
09:45,29.8
09:50,29.8
09:55,30
10:00,30
10:05,30
10:10,30
10:15,30.1
10:20,30.1
10:25,30.1
10:30,30.1
10:35,30.1
10:40,30.1
10:45,30.3
10:50,30.4
10:55,30.5
11:00,30.6
11:05,30.7
11:10,30.8
11:15,30.8
11:20,30.8
11:25,31.1
11:30,31.1
11:35,31.1
11:40,31.2
11:45,31.2
11:50,31.3
11:55,31.3
12:00,31.3
12:05,31.3
12:10,31.4
12:15,31.4
12:20,31.5
12:25,31.5
12:30,31.5
12:35,31.5
12:40,31.7
12:45,31.7
12:50,31.8
12:55,31.8
13:00,31.8
13:05,31.8
13:10,31.9
13:15,31.9
13:20,32
13:25,32
13:30,32
13:35,32
13:40,32.1
13:45,32.2
13:50,32.5
13:55,32.5
14:00,32.6
14:05,32.7
14:10,32.8
14:15,32.8
14:20,32.8
14:25,32.8
14:30,32.8
14:35,33
14:40,33.1
14:45,32.2
14:50,33.2
14:55,33.2
15:00,33.2
15:05,33.2
15:10,33.6
15:15,33.6
15:20,33.6
15:25,33.7
15:30,33.7
15:35,33.8
15:40,33.8
15:45,33.8
15:50,33.9
15:55,34.2
16:00,34.3
16:05,34.5
16:10,34.5
16:15,34.5
16:20,34.6
16:25,34.6
16:30,34.6
16:35,34.6
16:40,34.7
16:45,34.7
16:50,34.7
16:55,34.7
17:00,34.7
17:05,34.7
17:10,34.8
17:15,34.8
17:20,34.8
17:25,34.8
17:30,34.8
17:35,34.7
17:40,34.7
17:45,34.7
17:50,34.6
17:55,34.6
18:00,34.6
18:05,34.6
18:10,34.6
18:15,34.5
18:20,34.5
18:25,34.5
18:30,34.5
18:35,34.5
18:40,34.5
18:45,34.5
18:50,34.3
18:55,34.3
19:00,34.2
19:05,34.1
19:10,34.1
19:15,34.1
19:20,34.1
19:25,33.9
19:30,33.9
19:35,33.9
19:40,33.9
19:45,33.8
19:50,33.8
19:55,33.8
20:00,33.8
20:05,33.8
20:10,33.7
20:15,33.7
20:20,33.7
20:25,33.5
20:30,33.5
20:35,33.5
20:40,33.4
20:45,33.4
20:50,33.4
20:55,33.3
21:00,33.3
21:05,33.2
21:10,33.3
21:15,33.2
21:20,33.2
21:25,33.2
21:30,33.1
21:35,33.1
21:40,33.1
21:45,33.1
21:50,32.9
21:55,32.9
22:00,32.9
22:05,32.8
22:10,32.8
22:15,32.8
22:20,32.7
22:25,32.7
22:30,32.5
22:35,32.5
22:40,32.4
22:45,32.3
22:50,32.2
22:55,32.2
23:00,32
23:05,32.1
23:10,32.1
23:15,32.1
23:20,32
23:25,32
23:30,32
23:35,32
23:40,31.9
23:45,31.9
23:50,31.8
23:55,31.8
00:00,31.7
00:05,31.5
00:10,31.5
00:15,31.5
00:20,31.5
00:25,31.5
00:30,31.4
00:35,31.4
00:40,31.4
00:45,31.4
00:50,31.3
00:55,31.4
01:00,31.4
01:05,31.4
01:10,31.3
01:15,31.3
01:20,31.3
01:25,31.3
01:30,31.3
01:35,31.3
01:40,31.2
01:45,31.2
01:50,31.2
01:55,31.2
02:00,31.1
02:05,31.1
02:10,31.1
02:15,31.1
02:20,30.8
02:25,30.9
02:30,30.9
02:35,30.8
02:40,30.8
02:45,30.8
02:50,30.8
02:55,30.8
03:00,30.7
03:05,30.7
03:10,30.7
03:15,30.7
03:20,30.6
03:25,30.6
03:30,30.5
03:35,30.6
03:40,30.6
03:45,30.5
03:50,30.5
03:55,30.4
04:00,30.3
04:05,30.2
04:10,30
04:15,30
04:20,29.9
04:25,29.9
04:30,29.8
04:35,29.8
04:40,29.8
04:45,29.8
04:50,29.8
04:55,29.7
05:00,29.7
05:05,29.7
05:10,29.7
05:15,29.7
05:20,29.5
05:25,29.5
05:30,29.5
05:35,29.5
05:40,29.5
05:45,29.5
05:50,29.6
05:55,29.5
06:00,29.5
06:05,29.5
06:10,29.6
06:15,29.6
06:20,29.6
06:25,29.6
06:30,29.6
06:35,29.6
06:40,29.6
06:45,29.6
06:50,29.6
06:55,29.7
07:00,29.7
07:05,29.6
07:10,29.7
07:15,29.6
07:20,29.6
07:25,29.7
07:30,29.7
07:35,29.7
07:40,29.8
07:45,29.8
07:50,29.8
07:55,29.8
08:00,29.8
08:05,29.8
08:10,29.8
08:15,29.8
08:20,29.9
08:25,29.9
08:30,29.9
08:35,29.9
08:40,29.9
08:45,30
08:50,30
08:55,30
09:00,30
09:05,30.1
09:10,30.1
09:15,30.2
09:20,30.2
09:25,30.3
09:30,30.3
09:35,30.5
09:40,30.5
09:45,30.5
09:50,30.5
09:55,30.6
10:00,30.6
10:05,30.6
10:10,30.8
10:15,30.8
10:20,30.8
10:25,30.8
10:30,30.9
10:35,30.9
10:40,31
10:45,31
10:50,31.1
10:55,31.1
11:00,31.2
11:05,31.2
11:10,31.2
11:15,31.4
11:20,31.4
11:25,31.5
11:30,31.5
11:35,31.5
11:40,31.5
11:45,31.7
11:50,31.7
11:55,31.7
12:00,31.8
12:05,31.8
12:10,31.8
12:15,32
12:20,32.2
12:25,32.2
12:30,32.3
12:35,32.5
12:40,32.5
12:45,32.5
12:50,32.6
12:55,32.6
13:00,32.7
13:05,32.7
13:10,32.9
13:15,32.9
13:20,33.1
13:25,33.3
13:30,33.3
13:35,33.4
13:40,33.5
13:45,33.7
13:50,33.7
13:55,33.7
14:00,33.8
14:05,33.9
14:10,34
14:15,34.1
14:20,34.2
14:25,34.5
14:30,34.4
14:35,34.5
14:40,34.5
14:45,34.5
14:50,34.6
14:55,34.6
15:00,34.6
15:05,34.6
15:10,34.7
15:15,34.7
15:20,34.8
15:25,34.8
15:30,34.8
15:35,34.8
15:40,34.7
15:45,34.8
15:50,34.8
15:55,34.9
16:00,34.8
16:05,34.7
16:10,34.7
16:15,34.8
16:20,34.8
16:25,34.6
16:30,34.6
16:35,34.6
16:40,34.6
16:45,34.7
16:50,34.7
16:55,34.7
17:00,34.6
17:05,34.6
17:10,34.5
17:15,34.5
17:20,34.5
17:25,34.5
17:30,34.5
17:35,34.3
17:40,34.3
17:45,34.3
17:50,34.2
17:55,34.2
18:00,34.1
18:05,34.1
18:10,33.9
18:15,33.9
18:20,33.9
18:25,33.8
18:30,33.7
18:35,33.7
18:40,33.5
18:45,33.5
18:50,33.5
18:55,33.4
19:00,33.4
19:05,33.4
19:10,33.3
19:15,33.2
19:20,33.1
19:25,33.1
19:30,33.1
19:35,33.1
19:40,32.8
19:45,32.8
19:50,32.7
19:55,32.6
20:00,32.4
20:05,32.4
20:10,32.4
20:15,32.3
20:20,32.1
20:25,32.1
20:30,32.1
20:35,31.7
20:40,31.7
20:45,31.7
20:50,31.6
20:55,31.6
21:00,31.5
21:05,31.2
21:10,31.2
21:15,31.1
21:20,30.9
21:25,30.8
21:30,30.8
21:35,30.8
21:40,30.7
21:45,30.7
21:50,30.7
21:55,30.7
22:00,30.6
22:05,30.6
22:10,30.7
22:15,30.6
22:20,30.6
22:25,30.6
22:30,30.5
22:35,30.5
22:40,30.5
22:45,30.5
22:50,30.5
22:55,30.4
23:00,30.4
23:05,30.4
23:10,30.4
23:15,30.4
23:20,30.4
23:25,30.4
23:30,30.3
23:35,30.3
23:40,30.3
23:45,30.3
23:50,30.3
23:55,30.2
00:00,30.2
00:05,30.2
00:10,30.2
00:15,30.2
00:20,30
00:25,30
00:30,30
00:35,30
00:40,30.1
00:45,30
00:50,29.8
00:55,29.9
01:00,29.9
01:05,29.8
01:10,29.8
01:15,29.8
01:20,29.8
01:25,29.7
01:30,29.7
01:35,29.7
01:40,29.7
01:45,29.7
01:50,29.7
01:55,29.6
02:00,29.6
02:05,29.6
02:10,29.6
02:15,29.6
02:20,29.7
02:25,29.6
02:30,29.6
02:35,29.7
02:40,29.7
02:45,29.6
02:50,29.5
02:55,29.5
03:00,29.5
03:05,29.6
03:10,29.6
03:15,29.5
03:20,29.5
03:25,29.5
03:30,29.5
03:35,29.5
03:40,29.4
03:45,29.4
03:50,29.4
03:55,29.4
04:00,29.4
04:05,29.4
04:10,29.3
04:15,29.3
04:20,29.3
04:25,29.3
04:30,29.2
04:35,29.2
04:40,29.3
04:45,29.3
04:50,29.3
04:55,29.3
05:00,29.4
05:05,29.4
05:10,29.5
05:15,29.4
05:20,29.5
05:25,29.5
05:30,29.5
05:35,29.5
05:40,29.6
05:45,29.6
05:50,29.6
05:55,29.5
06:00,29.5
06:05,29.5
06:10,29.5
06:15,29.6
06:20,29.6
06:25,29.6
06:30,29.7
06:35,29.7
06:40,29.7
06:45,29.7
06:50,29.8
06:55,29.8
07:00,29.8
07:05,29.9
07:10,29.9
07:15,30
07:20,30
07:25,30
07:30,30.1
07:35,30.1
07:40,30.1
07:45,30.2
07:50,30.1
07:55,30.2
08:00,30.1
08:05,30.1
08:10,30.2
08:15,30.1
08:20,30.1
08:25,30.2
08:30,30.2
08:35,30.2
08:40,30.3
08:45,30.4
08:50,30.5
08:55,30.5
09:00,30.6
09:05,30.6
09:10,30.6
09:15,30.6
09:20,30.5
09:25,30.5
09:30,30.5
09:35,30.6
09:40,30.7
09:45,30.8
09:50,30.8
09:55,30.8
10:00,31
10:05,31.1
10:10,31.1
10:15,31.1
10:20,31.1
10:25,31.2
10:30,31.3
10:35,31.4
10:40,31.4
10:45,31.4
10:50,31.4
10:55,31.4
11:00,31.7
11:05,31.7
11:10,31.8
11:15,31.9
11:20,32
11:25,32
11:30,32
11:35,32.3
11:40,32.2
11:45,32.3
11:50,32.3
11:55,32.4
12:00,32.5
12:05,32.5
12:10,32.6
12:15,32.6
12:20,32.6
12:25,32.6
12:30,32.9
12:35,33
12:40,33.1
12:45,33.2
12:50,33.2
12:55,33.2
13:00,33.5
13:05,33.4
13:10,33.5
13:15,33.5
13:20,33.6
13:25,33.6
13:30,33.6
13:35,33.7
13:40,33.8
13:45,33.8
13:50,33.8
13:55,33.8
14:00,33.8
14:05,33.8
14:10,33.9
14:15,33.9
14:20,33.9
14:25,33.9
14:30,34.1
14:35,34.2
14:40,34.2
14:45,34.2
14:50,34.3
14:55,34.3
15:00,34.3
15:05,34.3
15:10,34.3
15:15,34.3
15:20,34.3
15:25,34.4
15:30,34.5
15:35,34.5
15:40,34.5
15:45,34.4
15:50,34.4
15:55,34.5
16:00,34.5
16:05,34.5
16:10,34.6
16:15,34.6
16:20,34.6
16:25,34.6
16:30,34.6
16:35,34.5
16:40,34.5
16:45,34.6
16:50,34.6
16:55,34.5
17:00,34.5
17:05,34.5
17:10,34.5
17:15,34.5
17:20,34.4
17:25,34.4
17:30,34.4
17:35,34.3
17:40,34.3
17:45,34.3
17:50,34.3
17:55,34.3
18:00,34.3
18:05,34.2
18:10,34.1
18:15,34.1
18:20,34.1
18:25,34.1
18:30,34.1
18:35,33.8
18:40,33.8
18:45,33.8
18:50,33.8
18:55,33.8
19:00,33.8
19:05,33.7
19:10,33.7
19:15,33.6
19:20,33.6
19:25,33.6
19:30,33.5
19:35,33.5
19:40,33.4
19:45,33.3
19:50,33.2
19:55,33.2
20:00,33.2
20:05,33.2
20:10,33.2
20:15,32.9
20:20,32.7
20:25,32.7
20:30,32.7
20:35,32.6
20:40,32.6
20:45,32.6
20:50,32.6
20:55,32.5
21:00,32.5
21:05,32.5
21:10,32.2
21:15,32.2
21:20,32.2
21:25,32.3
21:30,32.3
21:35,32.2
21:40,32.1
21:45,31.8
21:50,31.8
21:55,31.9
22:00,31.8
22:05,31.8
22:10,31.8
22:15,31.8
22:20,31.7
22:25,31.6
22:30,31.5
22:35,31.5
22:40,31.4
22:45,31.5
22:50,31.5
22:55,31.5
23:00,31.4
23:05,31.4
23:10,31.4
23:15,31.4
23:20,31.3
23:25,31.3
23:30,31.1
23:35,31.1
23:40,31.1
23:45,30.7
23:50,30.8
23:55,30.7
00:00,30.7
00:05,30.7
00:10,30.6
00:15,30.5
00:20,30.4
00:25,30.4
00:30,30.5
00:35,30.5
00:40,30.4
00:45,30.4
00:50,30.4
00:55,30.3
01:00,30.2
01:05,30.1
01:10,30.1
01:15,30
01:20,30.1
01:25,30.1
01:30,30
01:35,30
01:40,29.8
01:45,29.8
01:50,29.8
01:55,29.8
02:00,29.8
02:05,29.7
02:10,29.7
02:15,29.7
02:20,29.7
02:25,29.6
02:30,29.6
02:35,29.5
02:40,29.5
02:45,29.5
02:50,29.5
02:55,29.6
03:00,29.6
03:05,29.6
03:10,29.6
03:15,29.6
03:20,29.7
03:25,29.7
03:30,29.7
03:35,29.6
03:40,29.6
03:45,29.6
03:50,29.7
03:55,29.7
04:00,29.7
04:05,29.7
04:10,29.7
04:15,29.7
04:20,29.8
04:25,29.8
04:30,29.8
04:35,29.8
04:40,29.7
04:45,29.7
04:50,29.8
04:55,29.7
05:00,29.8
05:05,29.7
05:10,29.7
05:15,29.7
05:20,29.6
05:25,29.6
05:30,29.6
05:35,29.7
05:40,29.7
05:45,29.6
05:50,29.6
05:55,29.6
06:00,29.6
06:05,29.7
06:10,29.7
06:15,29.7
06:20,29.7
06:25,29.7
06:30,29.7
06:35,29.7
06:40,29.8
06:45,29.8
06:50,29.8
06:55,29.8
07:00,29.9
07:05,29.9
07:10,30
07:15,30
07:20,30.2
07:25,30.2
07:30,30.1
07:35,30.2
07:40,30.2
07:45,30.2
07:50,30.3
07:55,30.4
08:00,30.4